Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Barros, Bernardo G.",http://viaf.org/viaf/137445079,M,España,1890,1922
"Barros, João de","https://viaf.org/viaf/17235538/#Barros,_Jo%C3%A3o_de,_1496-1570",M,Portugal,1496,1570
"Bartrina, Joaquín María",http://viaf.org/viaf/41566522,M,España,1850,1880
"Basadre, Jorge",http://viaf.org/viaf/109009741,M,Perú,1903,1980
"Basaldúa, Héctor",http://viaf.org/viaf/32228358,M,Argentina,1895,1976
"Bashó, Matsuo",http://viaf.org/viaf/12304628,M,Japón,1644,1694
"Basso Maglio, Vicente",http://viaf.org/viaf/1114906,M,Uruguay,1889,1961
"Basterra, Ramón de",http://viaf.org/viaf/41828723,M,España,1888,1928
"Batlle y Ordóñez, José",http://viaf.org/viaf/17248628,M,Uruguay,1856,1929
"Batlle, Carlos de",http://viaf.org/viaf/21909029,M,NA,1869,1935
"Battilana de Gásperi, Eladio",http://www.portalguarani.com/1147_eladio_battilana_de_gasperi.html,M,Paraguay,NA,NA
"Bauchant, André",http://viaf.org/viaf/19695685,M,Francia,1873,1958
"Baudelaire, Charles",http://viaf.org/viaf/17218730,M,Francia,1821,1867
"Bauer y Landauer, Ignacio",http://viaf.org/viaf/66646281,M,España,1891,1961
"Bausili, Andrés",http://viaf.org/viaf/35993024,M,España,1898,1982
"Bautista  Castro, Juan",https://es.wikipedia.org/wiki/Juan_Bautista_Castro,M,Argentina,1882,1945
"Bayarri, Josep Maria",http://viaf.org/viaf/4117521,M,Francia,1886,1970
"Bazán, Armando",http://viaf.org/viaf/262550693,M,Perú,1902,1962
"Bazin, René",http://viaf.org/viaf/24597541,M,Francia,1853,1932
"Bazzurro, Domingo",https://es.wikipedia.org/wiki/Domingo_Bazzurro,M,Uruguay,1886,1962
"Beauduin, Nicolas",http://viaf.org/viaf/24634129,M,Francia,1880,1960
"Bebel, August",http://viaf.org/viaf/97092470,M,Alemania,1840,1913
"Bécat, Paul-Émile",http://viaf.org/viaf/56752531,M,Francia,1885,1960
"Beccar Varela, Horacio",https://es.wikipedia.org/wiki/Horacio_Beccar_Varela,M,Argentina,1875,1949
"Becerril, Juan",https://en.wikipedia.org/wiki/Juan_Becerril,M,España,1903,1983
"Becque, Henry",http://viaf.org/viaf/19673984,M,Francia,1837,1899
"Bécquer, Gustavo Adolfo",http://viaf.org/viaf/39390815,M,España,1836,1870
"Behne, Adolf",http://viaf.org/viaf/183300,M,Alemania,1885,1948
"Beirão, Mário",http://viaf.org/viaf/10126976,M,Portugal,1892,1965
"Bek, Aleksandr",http://viaf.org/viaf/61575734,M,Rusia,1903,1972
"Bel Mesonada, Gil",http://viaf.org/viaf/49157585,M,España,1895,1949
"Belaúnde, Víctor Andrés",http://viaf.org/viaf/9876448,M,Perú,1883,1966
