Colaborador,Fuente,Seudonimo,Sexo,Origen,Nacimiento,Muerte,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,Otras fuentes,
"Salazar y Herrera, Tiberio de Jesús",https://www.wikidata.org/wiki/Q6146375,,M,Colombia,1871,1942,,Q6146375,"SALAZAR Y HERRERA, TIBERIO",,,,,,Tiberio de Jesús Salazar y Herrera,male,1871-07-27T00:00:00Z,1942-03-04T00:00:00Z,,,"SALAZAR Y HERRERA, TIBERIO",,,
"Salazar, José María",https://www.wikidata.org/wiki/Q114232578,,M,Colombia,1785,1828,,Q114232578,"SALAZAR, JOSÉ MARÍA",,,,,,José María Salazar,,1785-01-01T00:00:00Z,1828-01-01T00:00:00Z,,,"SALAZAR, JOSÉ MARÍA",,,
"Saldarriaga Betancur, Juan Manuel",Sánchez: Diccionario Autores Antioqueños,Testis Fidelis,M,Colombia,1916,,,,,,,,,,,,,,,,,,,
"Saldarriaga Echeverri, Juan",Gallo Martínez: Diccionario Biográfico de Antioqueños,,M,Colombia,1890,1955,,,,,,,,,,,,,,,,,,
"Salvador Ruiz, Manuel",https://www.wikidata.org/wiki/Q6117905,"Ruiz, Salvo",M,Colombia,1878,1961,,Q6117905,"Salvador Ruiz, Manuel",,,,,,Salvo Ruiz,male,Concordia,Colombia,1878-07-15T00:00:00Z,1961-04-01T00:00:00Z,"Salvador Ruiz, Manuel",,,
"Samaniego, Félix María de",https://es.wikipedia.org/wiki/F%C3%A9lix_Mar%C3%ADa_de_Samaniego,,M,España,1745,1801,100270018,Q379642,,,,,,,,,,,,,,wikidata.org/wiki/Q379642,,
"Samper Acosta, Bertilda",https://www.wikidata.org/wiki/Q4895711,,F,Colombia,1856,1910,,Q4895711,"Samper Acosta, Bertilda",,,,,,Bertilda Samper Acosta,female,Bogotá,Colombia,1856-07-31,1910-07-31,"Samper Acosta, Bertilda",,,
"Samper de Ancízar, Agripina","Laverde Amaya, Apuntes; Otero Muñoz 1958",Pia Rigan,F,Colombia,1833,1892,,Q4694177,,,,,,,,,,,,,,,,
"Samper, Darío",https://www.wikidata.org/wiki/Q54839272,,M,Colombia,1909,1984,1057716340,Q54839272,"Samper, Darío",Unbekannt,1909,1984,,,Darío Samper,male,Guateque,Colombia,1909-12-18,1984-03-18,"Samper, Darío, 1909-",http://viaf.org/viaf/2517232,2517232,
"Samper, José María",https://www.wikidata.org/wiki/Q3186456,"Samper Agudelo, José María",M,Colombia,1828,1888,13895335X,Q3186456,"Samper, José María",Unbekannt,1828,1888,,,José María Samper,male,Honda,Colombia,1828-03-31T00:00:00Z,1888-07-22T00:00:00Z,"Samper, José María",http://viaf.org/viaf/1399395,1399395,
"Samper, Miguel",https://www.wikidata.org/wiki/Q6844794,,M,Colombia,1825,1899,1055472800,Q6844794,"Samper, Miguel",Unbekannt,1825-10-24,1899-03-16,Guaduas,Kolumbien,Miguel Samper Agudelo,male,Honda,Colombia,1825-10-24,1899-03-16,"Samper, Miguel",http://viaf.org/viaf/48546938,48546938,
"San Nicolás, Andrés de",https://www.wikidata.org/wiki/Q93386890,,M,Colombia,1617,1666,1056591404,Q93386890,"Andrés, de San Nicolás",Unbekannt,1617,1666,,,Andres San Nicolas,male,,,1617-01-01T00:00:00Z,1666-01-01T00:00:00Z,"San Nicolás, Andrés de",,,
"Sánchez de Bustamante y Sirvén, Antonio",https://es.wikipedia.org/wiki/Antonio_S%C3%A1nchez_de_Bustamante_y_Sirv%C3%A9n,,M,Cuba,1865,1951,124478921,Q436585,,,,,,,,,,,,,,"https://viaf.org/viaf/76092/#Bustamante_y_Sirv%C3%A9n,_Antonio_S%C3%A1nchez_de,_1865-1951",,
"Sánchez Euse, Gustavo",https://ancestors.familysearch.org/es/G64F-WF9/gustavo-s%C3%A1nchez-eusse-1898-1970,NA,M,Colombia,1898,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Sánchez Gómez, Gregorio",https://d-nb.info/gnd/1057580961,,M,Colombia,1895,1942,1057580961,Q60830169,,,,,,,,,,,,,,https://viaf.org/viaf/98978960,98978960,
"Sánchez Lafaurie, Juana",https://www.wikidata.org/wiki/Q88465423,"Lusignán, María de",F,Colombia,1908,,,Q88465423,"Sánchez Lafaurie, Juana",,,,,,Marzia de Lusignan,female,,,1908-07-12T00:00:00Z,,"Sánchez Lafaurie, Juana",,,
"Sánchez López, Luis María",Sánchez: Diccionario,,M,Colombia,1922,,1157269516,,"Sánchez López, Luis M.",Unbekannt,,,,,"Sánchez López, Luis María",,,,,,"Sánchez López, Luis María",,,
"Sánchez Montenegro, Víctor",QeQ Ven.; Sánchez: Diccionario; Ardila/Viscaino,,M,Colombia,1902 (sof.1903),,1057252921,,"Sánchez Montenegro, Víctor",Unbekannt,,,,,"Sánchez Montenegro, Víctor",,,,,,"Sánchez Montenegro, Víctor",http://viaf.org/viaf/99384240,99384240,
"Sánchez Ramírez, Ricardo",Sánchez: Diccionario Autores Antioqueños,Luis Trigueros,M,Colombia,1871,1947,,,,,,,,,,,,,,,,,,
"Sánchez Rojas, José",https://es.wikipedia.org/wiki/Jos%C3%A9_S%C3%A1nchez_Rojas,,M,España,1885,1931,105623668X,Q5945731,,,,,,,,,,,,,,http://viaf.org/viaf/18784506,,
"Sánchez, Alberto",Nieto,,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Sánchez, Teodosio V.","Ensayística contemporánea tachirense, Lugo Marminon.",,M,Venezuela,,,,,,,,,,,,,,,,,,,,
"Sanguily, Manuel",http://viaf.org/viaf/76352567,,M,Cuba,1848,1925,1057558648,Q28910520,"Sanguily, Manuel",Unbekannt,1848,1925,,Kuba,Manuel Sanguily,male,Havana,Cuba,1848-03-26,1925-01-23,"Sanguily, Manuel",http://viaf.org/viaf/76352567,,
"Sanín Cano, Baldomero",https://es.wikipedia.org/wiki/Baldomero_San%C3%ADn_Cano,,M,Colombia,1861,1957,1030491542,Q2880698,"Sanín Cano, Baldomero",Männlich,1861,1957,Rionegro,Kolumbien,Baldomero Sanín Cano,male,Rionegro,Colombia,1861-06-27,1957-05-12,"Sanín Cano, Baldomero",http://viaf.org/viaf/44331409,,
"Sanín Echeverri, Jaime",https://www.wikidata.org/wiki/Q5925356; Sánchez: Diccionario Autores Antioqueños,Sagredo,M,Colombia,1922,2008,,Q5925356,"SANÍN ECHEVERRI, JAIME",,,,,,Jaime Sanín Echeverri,male,1922-01-01T00:00:00Z,2008-03-01T00:00:00Z,Rionegro,Colombia,"Sanín Echeverri, Jaime",http://viaf.org/viaf/43196283,43196283,
"Sansores y Pren, Rosario",,NA,F,México,1889,1972,1056261706,Q7367418,"Sansores, Rosario",,1889,1972,Mérida,Mexiko,Rosario Sansores,female,Mérida,Mexico,1889-08-25,26305,"Sansores, Rosario",https://viaf.org/viaf/4560862/,,
"Santa María, Andrés de",https://es.wikipedia.org/wiki/Andr%C3%A9s_de_Santa_Mar%C3%ADa,,M,Colombia,1860,1945,1158208545,Q524942,,,,,,,,,,,,,,http://viaf.org/viaf/25912197,,
"Santa, Eduardo",https://d-nb.info/gnd/130600148,,M,Colombia,1927,,130600148,,"Santa, Eduardo",Unbekannt,1927,,,,"Santa, Eduardo",,,,,,"Santa, Eduardo",,,
"Santamaría de González, Teresa",GALLO; https://es.wikipedia.org/wiki/Teresa_Santamar%C3%ADa_de_Gonz%C3%A1lez,,F,Colombia,1897,1985,,,,,,,,,,,,,,,,http://viaf.org/viaf/314910338,,
"Santiago Fuentes, Magdalena de",,,F,España,1873,1922,https://d-nb.info/gnd/132765284,https://www.wikidata.org/wiki/Q5989709,,,,,,,,,,,,,,http://viaf.org/viaf/87723836,,
"Santos Chocano, José",,NA,M,Perú,1875,1934,118931768,Q930961,"Chocano, José Santos",männlich,1875,1934,Lima,Peru,José Santos Chocano,male,Lima,Peru,1875-05-14,12766,"Chocano, José Santos",https://viaf.org/viaf/71504072/,,
"Santos Millán, Isabel",https://tolimatotal.com/santos-millan-de-posada-isabel/santos-millan-de-posada-isabel,"Posada, Isabel Santos Millán de",F,Colombia,1902,2001,,,,,,,,,,,,,,,,,https://pijaoeditores.com/ensayos/las-escritoras-del-tolima,
"Santos Montejo, Eduardo",https://www.wikidata.org/wiki/Q470924,"Santos, Eduardo",M,Colombia,1888,1974,,Q470924,,,,,,,,,,,,,,http://viaf.org/viaf/89422718,,
"Santos, Gustavo",https://d-nb.info/gnd/1055473017,,M,Colombia,1892,,1055473017,,"Santos, Gustavo",Unbekannt,1892,,,,"Santos, Gustavo",,,,,,"Santos, Gustavo",,,
"Saravia, Hermógenes","https://www.google.de/books/edition/Parnaso_colombiano/2FAOAAAAIAAJ?hl=es&gbpv=1&dq=Saravia,+Herm%C3%B3genes&pg=PA121&printsec=frontcover: Laverde Amaya: ",N,M,Colombia,1826,,,,,,,,,,,,,,,,,,,
"Sarcey, Yvonne",https://fr.wikipedia.org/wiki/Yvonne_Sarcey,,F,Francia,1869,1950,1236442687,Q50332217,,,,,,,,,,,,,,"https://viaf.org/viaf/34465928/#Sarcey,_Yvonne,_1869-1950",,
"Sarmiento, Ricardo",https://d-nb.info/gnd/1248755995,"Seraville, Delio",M,Colombia,1885,1936,1248755995,,"Seraville, Delio",Unbekannt,1885-09-24,1936-02-04,Bogotá,Kolumbien,"Seraville, Delio",,,,,,"Seraville, Delio",http://viaf.org/viaf/6477164191755918740004,"6,48E+21",
"Sassi, Panfilo",https://es.wikipedia.org/wiki/P%C3%A1nfilo_Sasso,Pánfilo Sasso,M,Italia,1455,1527,https://d-nb.info/gnd/100405622,https://www.wikidata.org/wiki/Q6093701,,,,,,,,,,,,,,http://viaf.org/viaf/17148957,,
"Savage, Richard Henry",https://en.wikipedia.org/wiki/Richard_Henry_Savage,"Savage, R.H.",M,Estados Unidos,1846,1903,131723952,Q7326408,,,,,,,,,,,,,,http://viaf.org/viaf/3613269,,
"Sbarbi y Osuna, José María",https://www.wikidata.org/wiki/Q5943532,Sbarbi,M,España,1834,1910,1157514839,Q5943532,,,,,,,,,,,,,,,,
"Scarpetta, Oswaldo",Pérez Ortiz 1961: Riascos Gruesos,Otoniel Suárez,M,Colombia,1858,1922,,,,,,,,,,,,,,,,,"https://www.google.de/books/edition/Del_Cali_que_se_fue/GSplAAAAMAAJ?hl=es&gbpv=1&bsq=Scarpetta,+Oswaldo&dq=Scarpetta,+Oswaldo&printsec=frontcover",
"Schafi, Mirza",https://es.wikipedia.org/wiki/Mirza_Shafi_Vazeh,,M,Azerbaiyán,1792,1804,,,,,,,,,,,,,,,,,,
"Schiller, Friedrich",https://www.wikidata.org/wiki/Q22670,,M,Alemania,1759,1805,,Q22670,Schiller,,,,,,Friedrich Schiller,male,Marbach am Neckar,Germany,1759-11-10,1805-05-09,Schiller,,,
"Schopenhauer, Arthur",https://d-nb.info/gnd/118610465,,M,Polonia,1788,1860,118610465,Q38193,"Schopenhauer, Arthur",Männlich,1788-02-22,1860-09-21,Danzig,Polen,Arthur Schopenhauer,male,Gdańsk,Poland,1788-02-22,1860-09-21,"Schopenhauer, Arthur, 1788-1860.",http://viaf.org/viaf/17229367,17229367,
"Schwob, Marcel",https://en.wikipedia.org/wiki/Marcel_Schwob#Works,,M,Francia,1867,1905,,,,,,,,,,,,,,,,,,
"Scribe, Eugène",https://www.wikidata.org/wiki/Q319261,,M,Francia,1791,1861,,Q319261,,,,,,,,,,,,,,"https://viaf.org/viaf/19684263/#Scribe,_Eug%C3%A8ne,_1791-1861.",,
"Sèculi Bastida, Enriqueta",https://es.wikipedia.org/wiki/Enriqueta_S%C3%A8culi,,F,España,1897,1976,,Q19999249,,,,,,,,,,,,,,,,
"Ségur, Eugène de",https://www.wikidata.org/wiki/Q3060245,de Ségur,M,Francia,1798,1863,,Q3060245,,,,,,,,,,,,,,https://viaf.org/viaf/313541687/#Eug%C3%A8ne_de_S%C3%A9gur,,
"Segura, Silvino","https://viaf.org/viaf/37145857106622922502/#Segura,_Silvino",,M,Colombia,,,,,,,,,,,,,,,,,,,"https://www.google.de/books/edition/Estudios_cr%C3%ADticos_sobre_la_novela_colom/bCdtBn1MSlAC?hl=es&gbpv=1&dq=Segura,+Silvino&pg=PA405&printsec=frontcover",
"Sepúlveda Mejía, Diógenes",GALLO,,M,Colombia,1892,1980,,,,,,,,,,,,,,,,http://viaf.org/viaf/98774382,,
"Sepúlveda, Antonio M.",Orjuela,D'antomarse,M,Colombia,,,,,,,,,,,,,,,,,,,,
"Serao, Matilde",https://www.wikidata.org/wiki/Q384594,,F,Grecia,1856,1927,118796208,Q384594,"Serao, Matilde",Weiblich,1856,1927,Patras,Griechenland,Matilde Serao,female,Patras,Greece,1856-03-07,1927-07-25,"Serao, Matilde",http://viaf.org/viaf/27096653,27096653,
"Serna Gómez, Jaime",Sánchez: Diccionario Autores Antioqueños,Humberto Bronx,M,Colombia,1918,1982,,,"Bronx, Humberto",,,,,,"Bronx, Humberto",,,,,,"Bronx, Humberto",http://viaf.org/viaf/63095244,63095244,
"Serrano Blanco, Manuel",QeQ Ven.; Minchero; Sánchez: Diccionario; Cruz Cardenas,,M,Colombia,1897,1953,,,,,,,,,,,,,,,,,,
"Serrano, Marco Aurelio","Arias, Juan de Dios. Letras Santandereanas; Aceveo Lineras, Antonio. La pasión de escribir;",,M,Colombia,1868,1905,,,,,,,,,,,,,,,,,,
"Sevilla, Rafael","https://viaf.org/viaf/265602462/#Sevilla,_Rafael_m._1856",,M,España,1856,,,,,,,,,,,,,,,,,"https://viaf.org/viaf/265602462/#Sevilla,_Rafael_m._1856",,
"Shakespeare, William",https://es.wikipedia.org/wiki/William_Shakespeare,,M,Reino Unido,1564,1616,,,,,,,,,,,,,,,,"https://viaf.org/viaf/96994048/#Shakespeare,_William,_1564-1616.",,
"Sheperd, William Robert",https://en.wikipedia.org/wiki/William_Robert_Shepherd,,M,Estados Unidos,1871,1934,131751212,Q8017647,,,,,,,,,,,,,,"https://viaf.org/viaf/100210280/#Shepherd,_William_R.,_1871-1934",,
"Sienkiewicz, Henryk",https://es.wikipedia.org/wiki/Henryk_Sienkiewicz,,M,Polonia,1846,1916,118797107,Q41502,"Sienkiewicz, Henryk",Männlich,1846-05-05,1916-11-15,,,Henryk Sienkiewicz,male,Wola Okrzejska,Poland,1846-05-05,1916-11-15,"Sienkiewicz, Henryk",http://viaf.org/viaf/24608122,,
"Sienra Carranza, José",https://es.wikipedia.org/wiki/Jos%C3%A9_Sienra_Carranza,,M,Uruguay,1843,1925,105621337X,Q25830275,,,,,,,,,,,,,,http://viaf.org/viaf/100027470,,
"Sierra Basto, Ángel",https://www.wikidata.org/wiki/Q6173520,,M,Colombia,1923,1992,,Q6173520,"Sierra Basto, Ángel",,,,,,Ángel Sierra Basto,male,Pitalito,Colombia,1923-04-16T00:00:00Z,1992-10-21T00:00:00Z,"Sierra Basto, Ángel",,,
"Sierra Ríos, Manuel José",https://www.wikidata.org/wiki/Q94515008,,M,Colombia,1885,1941,,Q94515008,"SIERRA RIOS, MANUEL JOSÉ",,,,,,Manuel José Sierra Ríos,,1885-01-01T00:00:00Z,1941-01-01T00:00:00Z,,,"Sierra Ríos, Manuel José 1885-1941",http://viaf.org/viaf/63011931,63011931,
"Sierra, Justo",http://viaf.org/viaf/36989647,,M,México,1848,1912,119019558,Q2511268,"Sierra, Justo",Männlich,1848-01-26,1912-09-13,Campeche (Stadt),Mexiko,Justo Sierra,male,Campeche,Mexico,1848-01-26,1912-09-13,"Sierra, Justo",http://viaf.org/viaf/36989647,,
"Siles, José de",https://www.wikidata.org/wiki/Q6455319,,M,España,1856,1911,,Q6455319,,,,,,,,,,,,,,"https://viaf.org/viaf/305861571/#Siles,_Jos%C3%A9_de_1856-1911",,
"Silva Cruz, Carlos",https://viaf.org/viaf/26145856859122920239,,M,Chile,1872,1945,,,,,,,,,,,,,,,,"https://viaf.org/viaf/26145856859122920239/#Silva_Cruz,_Carlos,_1872-1945",,
"Silva Vidal, Ismael","https://viaf.org/viaf/310576820/#Silva_Vidal,_Ismael",,M,Perú,1896,,,,,,,,,,,,,,,,,"https://viaf.org/viaf/310576820/#Silva_Vidal,_Ismael",,
"Silva, Eleázar",,,M,Venezuela,1876,1902,https://d-nb.info/gnd/1064354807,,,,,,,,,,,,,,,http://viaf.org/viaf/55732489,,
"Silva, José Asunción",http://viaf.org/viaf/39409953,,M,Colombia,1865,1896,118797247,Q2983255,"Silva, José Asunción",Männlich,1865-11-27,1896-05-24,Bogotá,Kolumbien,José Asunción Silva,male,Tunja,Colombia,1865-11-27,1896-05-24,"Silva, José Asunción, 1865-1896.",http://viaf.org/viaf/39409953,,
"Silvela, Francisco",http://viaf.org/viaf/37231416,,M,España,1845,1905,,Q1236383,,,,,,,,,,,,,,,,
"Silvestre, Armand",http://viaf.org/viaf/7428482,,M,Francia,1837,1901,,,,,,,,,,,,,,,,,,
"Sinués de Marco, María del Pilar",https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Pilar_Sinu%C3%A9s,,F,España,1835,1893,1057582891,Q18416349,,,,,,,,,,,,,,http://viaf.org/viaf/59398413,,
"Smith, Logan Pearsall",https://es.wikipedia.org/wiki/Logan_Pearsall_Smith,,M,Estados Unidos,1865,1946,https://d-nb.info/gnd/124123716,https://www.wikidata.org/wiki/Q328494,,,,,,,,,,,,,,http://viaf.org/viaf/54167307,,
"Soiza Reilly, Juan José de",,NA,M,Argentina,1879,1959,1057670979,Q19448008,"Soiza Reilly, Juan José de",,1880,1959,,Uruguay,Juan José de Soiza Reilly,male,Paysandú,Uruguay,1879-05-19,21263,"Soiza Reilly, Juan José de",https://viaf.org/viaf/50698915/,,
"Solano Guzmán, Gustavo","https://viaf.org/viaf/256406321/#Solano_Guzm%C3%A1n,_Gustavo_1886-",Conde Gris,M,El Salvador,1886,,https://d-nb.info/gnd/1023862476,,,,,,,,,,,,,,,http://viaf.org/viaf/256406321,,
"Solano Patiño, José",https://www.ramhg.es/images/stories/pdf/genealogia-articulos/diccionario-de-antioquenos.pdf,,M,Colombia,1872,1928,,,"Solano Patiño, José",,,,,,"Solano Patiño, José",,,,,,"Solano Patiño, José",,,
"Solano, Armando",https://www.wikidata.org/wiki/Q64707018,,M,Colombia,1887,1953,1055472592,Q64707018,"Solano, Armando",Unbekannt,1887,1953,Paipa,Kolumbien,Armando Solano,male,Paipa,Colombia,1887-01-01T00:00:00Z,1953-01-01T00:00:00Z,"Solano, Armando, 1887-",http://viaf.org/viaf/43227407,43227407,
"Solís Escobar, Edilberto",https://d-nb.info/gnd/1057313769,,M,Colombia,,,1057313769,,"Solís Escobar, Edilberto",Unbekannt,,,,,"SOLIS ESCOBAR, EDILBERTO",,,,,,"SOLIS ESCOBAR, EDILBERTO",,,
"Solis Moncada, Jose",Viaf,,M,Colombia,1892,1981,1300193069,,"Solis Moncada, José",männlich,1892,1981,,Kolumbien,,,,,,,"Solis Moncada, José",http://viaf.org/viaf/7169375071624281799,,
"Solís Moncada, José",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1892,,,,,,,,,,,,,,,,,,,
"Sorela, Luis",,,M,España,1858,1930,,https://www.wikidata.org/wiki/Q113802286,https://www.wikidata.org/wiki/Q113802286,,,,,,,,,,,,,http://viaf.org/viaf/43955003,,
"Soriano y Barroeta-Aldamar, Rodrigo",https://www.wikidata.org/wiki/Q3438473,,M,España,1868,1944,,Q3438473,,,,,,,,,,,,,,"https://viaf.org/viaf/46413339/#Soriano,_Rodrigo,_1868-1944",,
"Sotela Bonilla, Rogelio",,NA,M,Costa Rica,1894,1943,13697869X,Q2885208,"Sotela, Rogelio",männlich,1894,1943,,Costa Rica,Rogelio Sotela,male,San José,Costa Rica,1894-05-15,15900,"Sotela, Rogelio",https://viaf.org/viaf/44116123/,,
"Soto Aparicio, Fernando",https://www.wikidata.org/wiki/Q5860273,,M,Colombia,1933,2016,128787023,Q5860273,"Soto Aparicio, Fernando",Unbekannt,1933,,,,Fernando Soto Aparicio,male,Socha,Colombia,1933-10-01T00:00:00Z,2016-05-06T00:00:00Z,"Soto Aparicio, Fernando",http://viaf.org/viaf/57674043,57674043,
"Soto Borda, Clímaco",https://es.wikipedia.org/wiki/Cl%C3%ADmaco_Soto_Borda,Casimiro de la Barra,M,Colombia,1870,1919,1077324898,Q5775484,"Soto Borda, Clímaco",Unbekannt,1870,1919,Bogotá,Kolumbien,Clímaco Soto Borda,male,,,1870-02-22,1919-08-18,"Soto Borda, Clímaco 1870-1919",https://viaf.org/viaf/3841456/,,
"Soto Hall, Máximo",https://es.wikipedia.org/wiki/M%C3%A1ximo_Soto_Hall,NA,M,Guatemala,1871,1943,https://d-nb.info/gnd/101837224,https://www.wikidata.org/wiki/Q6949880,"Soto-Hall, Máximo",NA,1871,1944,NA,Guatemala,Máximo Soto Hall,M,Antigua Guatemala,Guatemala,1871,1944,"Soto-Hall, Máximo",http://viaf.org/viaf/19926614,,
"Soto, Carmelina",https://www.wikidata.org/wiki/Q5043346,,F,Colombia,1816,1994,,Q5043346,"Soto, Carmelina",,,,,,Carmelina Soto,female,Armenia,Colombia,1916-10-31T00:00:00Z,1994-03-18T00:00:00Z,"Soto, Carmelina",,,
"Soublette, Carlos",,,M,Venezuela,1789,1870,https://d-nb.info/gnd/117484369,https://www.wikidata.org/wiki/Q2497526,,,,,,,,,,,,,,http://viaf.org/viaf/28451202,,
"Souday, Paul",https://fr.wikipedia.org/wiki/Paul_Souday,,M,Francia,1869,1929,https://d-nb.info/gnd/1034287834,https://www.wikidata.org/wiki/Q3372218,,,,,,,,,,,,,,http://viaf.org/viaf/100217783,,
"Sousa de Portugal, Lope de",https://www.wikidata.org/wiki/Q51881490,Lope de Sousa,M,España,,1520,,Q51881490,,,,,,,,,,,,,,,,
"Spencer, Edmund",https://es.wikipedia.org/wiki/Edmund_Spenser,,M,Reino Unido,1552/1553,1599,https://d-nb.info/gnd/118616129,https://www.wikidata.org/wiki/Q4352055,,,,,,,,,,,,,,http://viaf.org/viaf/100170015,,
"Stead, William Thomas",https://en.wikipedia.org/wiki/W._T._Stead,,M,Reino Unido,1849,1912,117652741,Q288301,,,,,,,,,,,,,,http://viaf.org/viaf/68937830,,
"Stecchetti, Lorenzo",http://viaf.org/viaf/326144782956878631219,,M,Italia,1845,1916,,,,,,,,,,,,,,,,,,
"Stresino, Edward",https://d-nb.info/gnd/1146396961,,M,Estados Unidos,1931,,1146396961,,"Stresino, Edward",Unbekannt,1931,,,,"Stresino, Edward",,,,,,"Stresino, Edward",,,
"Stulken, Edward H.",https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=3989&context=jclc,,M,Estados Unidos,1906,,,,,,,,,,,,,,,,,,https://www.ancestry.com/1940-census/usa/Nebraska/Edward-A-Stulken_21bsm2,
"Suarès, André",https://www.wikidata.org/wiki/Q522970,,M,Francia,1868,1948,118799312,Q522970,"Suarès, André",,,,,,"Suaréz, André",male,Marseille,Francia,1868-06-12,1948-09-07,"Suarès, André",http://viaf.org/viaf/49232044,49232044,
"Suárez, Marco Fidel",https://d-nb.info/gnd/1055472576,"Erasmo el Exiguo, Luciano Pulgar; Ramón González Mogollón",M,Colombia,1855,1927,1055472576,,"Suárez, Marco Fidel",Männlich,1855-04-23,1927-04-03,Bello,Kolumbien,"Suárez, Marco Fidel",,,,,,"Suárez, Marco Fidel",http://viaf.org/viaf/24914897,24914897,
"Suárez, Roberto",Laverde,Pulgar; Ramón González Mogollón,M,Colombia,1852,1882,,,"Suárez, Roberto",,,,,,"Suárez, Roberto",,,,,,"Suárez, Roberto",,,
"Sucre, Antonio José",https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre,,M,Venezuela,1795,1830,https://d-nb.info/gnd/118642596,https://www.wikidata.org/wiki/Q189779,,,,,,,,,,,,,,http://viaf.org/viaf/27085144,,
"Tablada, José Juan",https://es.wikipedia.org/wiki/Jos%C3%A9_Juan_Tablada,,M,México,1871,1945,119431769,Q2501863,"Tablada, José Juan",Männlich,1871-04-03,1945-08-02,Mexiko (Stadt),Mexiko,José Juan Tablada,male,Mexico City,Mexico,1871-04-03,1945-08-02,"Tablada, José Juan",http://viaf.org/viaf/51792179,,
"Taboada, Luis",https://www.wikidata.org/wiki/Q11689886,,M,España,1848,1906,,Q11689886,,,,,,,,,,,,,,,,
"Tagore, Rabindranath",https://es.wikipedia.org/wiki/Rabindranath_Tagore,,M,India,1861,1941,,Q7241,,,,,,,,,,,,,,https://viaf.org/viaf/24608356/,,
"Talero Núñez, Eduardo",https://d-nb.info/gnd/1075214416,,M,Colombia,1869,1920,1075214416,Q109482213,"Talero, Eduardo",Unbekannt,1869,1920,Bogotá,Kolumbien,Eduardo Talero,male,Bogotá,Colombia,1869-01-01,1920-09-22,"Talero, Eduardo, 1869-1920",http://viaf.org/viaf/115056454,,
"Talleyrand, Charles Maurice de",https://www.wikidata.org/wiki/Q160499,,M,Francia,1754,1838,,Q160499,,,,,,,,,,,,,,,,
"Tamayo, Franz",,NA,M,Bolivia,1879,1956,118753886,Q2367617,"Tamayo, Franz",männlich,1879,1956,La Paz,Bolivien,Franz Tamayo,male,La Paz,Bolivia,1879-02-28,20665,"Tamayo, Franz",https://viaf.org/viaf/32029228/,,
"Tamayo, Nelly",Sánchez: Diccionario Autores Antioqueños,Suzanne Ibero,F,Colombia,1927,1957,,,,,,,,,,,,,,,,,,
"Tarleau, Lisa Ysaye",,NA,F,Estados Unidos,1878,1952,,,,,,,,,,,,,,,,,https://academia-lab.com/enciclopedia/lisa-ysaye-tarleau/#google_vignette,
"Tarrida del Mármol, Fernando",https://es.wikipedia.org/wiki/Fernando_Tarrida_del_M%C3%A1rmol,,M,Cuba,1861,1915,https://d-nb.info/gnd/1081939761,https://www.wikidata.org/wiki/Q1374294,,,,,,,,,,,,,,http://viaf.org/viaf/99649351,,
"Taunay, Vizconde de",https://es.wikipedia.org/wiki/Vizconde_de_Taunay,,M,Brasil,1843,1899,13755320X,Q1787960,"Taunay, Alfredo d'Escragnolle Taunay de",Unbekannt,1843-02-22,1899-01-25,Rio de Janeiro,Brasilien,Alfredo d'Escragnolle Taunay,male,Rio de Janeiro,Brazil,1843-02-22,1899-01-25,"Taunay, Alfredo d'Escragnolle Taunay, Visconde de, 1843-1899",https://viaf.org/viaf/14788213/,,
"Tejada Cano, Luis",https://www.wikidata.org/wiki/Q5984374,,M,Colombia,1898,1924,135753600,Q5984374,"Tejada, Luis",Unbekannt,1898,1924,,,Luis Tejada Cano,male,1898-02-07T00:00:00Z,1924-09-17T00:00:00Z,Barbosa,Colombia,"Tejada, Luis, 1898-1924.",http://viaf.org/viaf/40599269,40599269,
"Tejada Córdoba, Benjamín",Gallo Martínez,,M,Colombia,1898,1925,,,,,,,,,,,,,,,,,,
"Tejada Naranjo, Guillermo",Gallo Martínez,,M,Colombia,1914,1973,,,,,,,,,,,,,,,"Tejada Naranjo, Guillermo",,,
"Tejada, Temístocles","https://www.google.de/books/edition/La_patria/LOktAAAAYAAJ?hl=es&gbpv=1&dq=Tejada,+Tem%C3%ADstocles&pg=PA196&printsec=frontcover:   Pérez ortíz",,M,Colombia,1840,,,,,,,,,,,,,,,,,,,
"Tejera, Felipe",https://www.wikidata.org/wiki/Q19999831,,M,Venezuela,1846,1924,https://d-nb.info/gnd/1057249556,Q19999831,,,,,,,,,,,,,,http://viaf.org/viaf/33622791,,
